file_name,streetview_id,latitude,longitude,altitude,date,time,distance,heading,streetview,project
GSfile,98,31.6681704,34.571366,39.009,6/13/2022,11:36:37:245,5.525803405,73.95886046,GS010598_101.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,99,31.6681545,34.5713107,39.372,6/13/2022,11:36:38:235,6.832499406,73.57862615,GS010598_102.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,100,31.6681344,34.5712425,39.856,6/13/2022,11:36:39:225,7.47446259,74.35775354,GS010598_103.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,101,31.6681134,34.5711675,40.189,6/13/2022,11:36:40:270,7.371584635,74.84293445,GS010598_104.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,102,31.6680933,34.5710933,40.32,6/13/2022,11:36:41:260,8.198343402,73.51949,GS010598_105.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,103,31.6680691,34.5710115,40.503,6/13/2022,11:36:42:250,7.832759904,72.70057476,GS010598_106.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,104,31.6680449,34.5709338,40.799,6/13/2022,11:36:43:240,7.224670348,71.63760805,GS010598_107.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,105,31.6680213,34.5708627,41.108,6/13/2022,11:36:44:230,6.716857477,70.86159128,GS010598_108.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,106,31.6679985,34.570797,41.267,6/13/2022,11:36:45:275,7.117705075,69.27049773,GS010598_109.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,107,31.6679725,34.5707283,41.433,6/13/2022,11:36:46:265,5.949945473,68.04223492,GS010598_110.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,108,31.6679496,34.5706715,41.478,6/13/2022,11:36:47:255,6.396219397,67.06481018,GS010598_111.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,109,31.667924,34.570611,41.489,6/13/2022,11:36:48:245,6.66398727,66.36102016,GS010598_112.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,110,31.6678966,34.5705484,41.517,6/13/2022,11:36:49:290,6.932896286,65.70968866,GS010598_113.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,111,31.6678674,34.5704837,41.44,6/13/2022,11:36:50:225,7.593388398,66.03751103,GS010598_114.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,112,31.6678358,34.5704126,41.402,6/13/2022,11:36:51:270,6.314956114,66.32502076,GS010598_115.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,113,31.6678098,34.5703533,41.414,6/13/2022,11:36:52:260,6.857905019,66.64103732,GS010598_116.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,114,31.6677819,34.5702887,41.501,6/13/2022,11:36:53:250,7.173449133,66.0849937,GS010598_117.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,115,31.6677521,34.5702215,41.479,6/13/2022,11:36:54:240,7.124459942,66.17294295,GS010598_118.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,116,31.6677226,34.5701547,41.513,6/13/2022,11:36:55:285,7.20194752,66.28175723,GS010598_119.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,117,31.6676929,34.5700871,41.619,6/13/2022,11:36:56:275,6.454984377,66.80140949,GS010598_120.jpg,2022_RVGP_Israil_Data_Ph2
GSfile,118,31.6676668,34.5700262,41.746,6/13/2022,11:36:57:265,6.008402493,65.93354321,GS010598_121.jpg,2022_RVGP_Israil_Data_Ph2
